datetime,temperature,city
2023-01-01,2.3,Moscow
2023-01-02,-1.2,Moscow
2023-01-03,-1.7,Moscow
2023-01-04,-3.3,Moscow
2023-01-05,-7.3,Moscow
2023-01-06,-23.1,Moscow
2023-01-07,-25.7,Moscow
2023-01-08,-19.3,Moscow
2023-01-09,-20.0,Moscow
2023-01-10,-16.0,Moscow
2023-01-11,-12.1,Moscow
2023-01-12,-8.8,Moscow
2023-01-13,-6.1,Moscow
2023-01-14,-3.0,Moscow
2023-01-15,-3.2,Moscow
2023-01-16,-4.4,Moscow
2023-01-17,-1.4,Moscow
2023-01-18,0.2,Moscow
2023-01-19,1.6,Moscow
2023-01-20,2.3,Moscow
2023-01-21,-3.3,Moscow
2023-01-22,-4.9,Moscow
2023-01-23,-4.7,Moscow
2023-01-24,-3.2,Moscow
2023-01-25,-3.8,Moscow
2023-01-26,-2.7,Moscow
2023-01-27,-3.1,Moscow
2023-01-28,-3.6,Moscow
2023-01-29,-3.8,Moscow
2023-01-30,-2.9,Moscow
2023-01-31,-1.4,Moscow
2023-02-01,-0.9,Moscow
2023-02-02,-2.6,Moscow
2023-02-03,-1.3,Moscow
2023-02-04,-1.9,Moscow
2023-02-05,-3.6,Moscow
2023-02-06,-6.5,Moscow
2023-02-07,-10.1,Moscow
2023-02-08,-8.3,Moscow
2023-02-09,-2.5,Moscow
2023-02-10,-3.6,Moscow
2023-02-11,-3.7,Moscow
2023-02-12,-4.8,Moscow
2023-02-13,-4.7,Moscow
2023-02-14,-0.5,Moscow
2023-02-15,-3.6,Moscow
2023-02-16,-6.0,Moscow
2023-02-17,-9.1,Moscow
2023-02-18,-7.8,Moscow
2023-02-19,-7.4,Moscow
2023-02-20,-8.1,Moscow
2023-02-21,-14.0,Moscow
2023-02-22,-15.7,Moscow
2023-02-23,-12.9,Moscow
2023-02-24,-7.3,Moscow
2023-02-25,-0.6,Moscow
2023-02-26,-0.0,Moscow
2023-02-27,-4.8,Moscow
2023-02-28,-5.9,Moscow
2023-03-01,-5.9,Moscow
2023-03-02,-4.9,Moscow
2023-03-03,-1.4,Moscow
2023-03-04,-3.5,Moscow
2023-03-05,-3.3,Moscow
2023-03-06,-4.6,Moscow
2023-03-07,-5.3,Moscow
2023-03-08,-5.9,Moscow
2023-03-09,-3.9,Moscow
2023-03-10,-6.9,Moscow
2023-03-11,-5.7,Moscow
2023-03-12,1.4,Moscow
2023-03-13,-4.9,Moscow
2023-03-14,-0.2,Moscow
2023-03-15,2.7,Moscow
2023-03-16,1.2,Moscow
2023-03-17,-0.9,Moscow
2023-03-18,-4.7,Moscow
2023-03-19,-5.5,Moscow
2023-03-20,-3.4,Moscow
2023-03-21,1.1,Moscow
2023-03-22,1.9,Moscow
2023-03-23,3.9,Moscow
2023-03-24,4.8,Moscow
2023-03-25,4.5,Moscow
2023-03-26,3.8,Moscow
2023-03-27,4.5,Moscow
2023-03-28,4.1,Moscow
2023-03-29,5.7,Moscow
2023-03-30,3.5,Moscow
2023-03-31,1.1,Moscow
2023-04-01,3.8,Moscow
2023-04-02,6.5,Moscow
2023-04-03,8.0,Moscow
2023-04-04,8.3,Moscow
2023-04-05,7.4,Moscow
2023-04-06,7.0,Moscow
2023-04-07,4.9,Moscow
2023-04-08,5.3,Moscow
2023-04-09,7.0,Moscow
2023-04-10,6.9,Moscow
2023-04-11,8.6,Moscow
2023-04-12,9.4,Moscow
2023-04-13,9.8,Moscow
2023-04-14,3.9,Moscow
2023-04-15,3.0,Moscow
2023-04-16,5.6,Moscow
2023-04-17,7.5,Moscow
2023-04-18,9.7,Moscow
2023-04-19,10.0,Moscow
2023-04-20,9.5,Moscow
2023-04-21,9.5,Moscow
2023-04-22,9.6,Moscow
2023-04-23,11.2,Moscow
2023-04-24,13.1,Moscow
2023-04-25,12.4,Moscow
2023-04-26,11.3,Moscow
2023-04-27,13.1,Moscow
2023-04-28,11.0,Moscow
2023-04-29,6.9,Moscow
2023-04-30,7.1,Moscow
2023-05-01,6.6,Moscow
2023-05-02,7.7,Moscow
2023-05-03,10.1,Moscow
2023-05-04,8.6,Moscow
2023-05-05,5.3,Moscow
2023-05-06,2.6,Moscow
2023-05-07,3.1,Moscow
2023-05-08,5.1,Moscow
2023-05-09,7.5,Moscow
2023-05-10,10.4,Moscow
2023-05-11,12.4,Moscow
2023-05-12,13.9,Moscow
2023-05-13,15.6,Moscow
2023-05-14,12.9,Moscow
2023-05-15,12.7,Moscow
2023-05-16,14.3,Moscow
2023-05-17,16.4,Moscow
2023-05-18,18.1,Moscow
2023-05-19,14.1,Moscow
2023-05-20,11.2,Moscow
2023-05-21,12.4,Moscow
2023-05-22,13.9,Moscow
2023-05-23,15.5,Moscow
2023-05-24,17.2,Moscow
2023-05-25,17.1,Moscow
2023-05-26,18.4,Moscow
2023-05-27,16.8,Moscow
2023-05-28,12.4,Moscow
2023-05-29,14.5,Moscow
